4kb9,24.0,8.7,12.6,8.4
4bq5,15.2,4.5,52.6,54.0
1xu5,21.5,7.0,58.2,76.3
2xz6,25.1,6.8,54.6,54.7
3ar3,30.8,9.3,21.5,23.3
3doc,20.9,8.8,28.8,32.8
2bxz,13.9,2.7,21.6,19.4
1d7c,20.2,1.5,9.0,11.2
1jfc,18.2,3.9,22.1,13.2
2a1x,14.6,3.1,6.3,5.2
1euv,19.3,3.3,8.3,8.4
2cdf,14.6,4.6,9.6,9.4
2gha,14.2,1.5,21.2,21.1
3d9c,27.4,11.5,6.8,6.7
3lz3,14.4,3.0,10.6,10.7
1d2v,24.9,4.6,23.6,34.2
2xtk,14.5,2.4,17.3,17.0
1gdr,9.5,0.0,2.7,2.8
2kwb,23.5,8.3,77.7,149.9
1aeg,12.0,1.3,7.1,7.1
1esv,32.5,11.4,10.6,12.4
2m0y,39.0,9.0,29.9,29.2
4gn5,17.5,6.8,14.3,13.2
2b51,18.2,7.5,13.3,12.9
3ivd,12.3,1.6,25.8,25.2
1p59,29.5,7.9,7.1,6.3
1lvf,19.5,5.7,5.7,5.6
2v2x,10.1,3.1,15.7,22.4
1gnv,12.4,3.2,8.0,5.8
2kdd,26.9,1.1,21.0,19.3
4i4v,10.6,1.6,17.6,17.0
2g2b,25.2,6.7,56.2,64.6
4daj,32.6,13.6,30.2,39.0
1ct1,22.2,6.6,11.1,11.8
4glt,31.7,13.7,17.7,19.9
2nww,16.6,3.6,20.6,24.6
1x12,29.1,6.6,17.4,22.9
3uej,11.5,2.4,5.4,3.4
2kpj,19.7,2.6,62.5,49.7
3bgv,15.7,4.7,27.1,26.8
3aie,15.4,4.9,170.6,253.0
1fnz,21.2,2.0,6.7,5.8
3bkz,13.1,5.2,8.9,7.6
1lbe,32.4,11.6,10.2,11.0
2b48,32.7,26.9,4.3,2.8
3awd,10.7,1.3,21.4,28.8
1p7t,30.6,13.4,42.3,57.4
1t3g,23.0,6.8,7.5,7.7
286d,16.1,14.6,2.1,1.0
1dl4,47.8,13.7,2.4,1.2
1xqy,54.3,32.5,7.0,7.6
2pvz,9.9,3.0,28.2,27.5
1khh,31.0,15.4,12.4,14.9
3m6n,25.4,12.1,31.4,44.4
2vu1,19.5,5.4,50.4,57.9
4l8j,5.4,0.4,21.5,15.0
3d90,25.2,7.2,15.7,16.7
1ms9,13.0,4.0,46.7,49.8
3g4v,17.2,3.4,15.7,9.8
2rmh,18.5,11.8,22.5,21.6
1e97,31.2,12.8,6.2,4.1
1isy,17.7,5.0,30.9,34.4
2l38,17.1,1.5,93.1,88.2
4ah7,16.0,4.1,29.6,39.3
4gof,17.0,4.3,6.6,3.9
3t52,10.4,3.1,61.0,69.6
3r9s,12.0,1.7,24.9,21.9
1ct5,12.9,0.8,9.0,8.6
2bnq,20.9,7.5,20.6,26.7
1rei,42.3,20.3,7.0,5.2
4fi9,16.8,6.8,7.0,4.7
1tsh,22.1,7.8,8.7,7.2
1exv,24.3,6.5,42.4,61.6
3r1l,22.7,10.4,18.8,23.9
3i7o,44.6,34.3,30.4,35.2
2jst,22.5,2.0,67.2,69.2
4c92,17.7,4.0,18.5,17.7
2xe5,10.1,3.4,51.9,66.2
3ui2,29.7,12.9,8.2,6.9
2bhl,37.6,21.0,23.9,28.1
1bo8,22.6,4.7,15.8,9.9
4f4b,15.3,3.0,23.2,27.7
1i25,11.1,0.0,11.8,8.2
2vjt,14.2,4.0,10.2,9.0
1s4i,38.4,23.1,16.5,18.2
3upj,21.3,3.3,7.2,5.0
1rxg,9.7,2.1,12.3,8.7
3oba,14.8,4.1,96.1,130.1
1u1z,30.2,8.2,25.4,27.5
2nsn,12.0,0.6,5.7,2.9
2awp,9.6,3.4,13.0,17.6
2bnj,13.1,2.6,13.4,13.9
4m3s,11.6,1.5,9.8,7.4
3aar,12.4,2.6,19.7,14.2
3b2t,17.0,2.3,16.4,23.0
1k49,21.7,2.9,8.0,8.2
4jbe,14.0,2.4,33.0,26.5
1qk6,21.8,3.9,10.6,7.6
3t6j,37.1,22.7,19.0,23.3
2jem,15.5,3.4,19.4,18.8
1wdk,28.6,9.0,56.7,79.2
1kq2,24.5,10.8,11.5,11.1
4kng,30.3,10.9,38.4,38.5
3rd9,17.1,6.1,8.7,7.2
1qjd,22.1,4.9,19.7,23.8
3k3j,17.3,5.0,12.8,12.2
3mp2,15.9,7.9,10.0,6.4
2k79,28.8,16.4,6.2,4.5
