2ayq,7.1,5.4,13.1,12.9
1s1w,22.6,17.7,16.0,18.2
1ywd,4.8,3.6,5.9,4.4
1v2n,2.4,0.9,4.9,4.2
4fno,10.8,9.4,7.1,8.1
1dwq,9.9,3.1,9.4,11.6
3kt4,3.2,2.7,10.3,11.0
3ovv,0.3,0.7,9.2,8.7
1nzm,3.4,3.1,13.3,11.1
4g0h,1.7,3.2,7.0,6.4
4gnd,4.2,2.0,4.4,3.2
4hp9,5.7,4.4,4.1,2.4
2pgh,15.4,13.0,10.0,11.1
1kk2,9.4,5.5,7.6,7.6
3ih6,5.7,6.7,19.2,22.7
1ki0,7.4,7.9,5.6,5.5
1j80,11.0,10.1,3.3,2.2
1jst,19.3,14.1,18.7,26.0
4hac,4.2,4.2,12.2,11.4
2cpz,41.8,15.3,36.5,35.1
2dda,1.3,1.5,17.2,17.5
2qu0,8.9,6.3,9.9,10.6
1huc,10.9,5.8,8.7,10.0
3mye,3.6,3.0,2.6,1.5
2qry,9.1,8.3,20.4,26.2
2w0p,8.5,5.9,5.5,3.3
1isx,7.4,7.7,18.8,21.1
4fn0,28.5,14.2,11.5,10.9
1eyj,9.8,8.6,11.3,14.7
1x1z,4.3,2.6,10.7,10.8
2yb1,2.2,1.2,5.9,6.5
1krc,4.2,2.9,12.8,14.1
1qkw,11.9,4.4,2.6,1.1
1jjk,30.8,22.6,54.5,74.4
3s40,7.5,5.3,18.1,21.5
2fvo,0.0,0.0,2.0,3.0
4b5n,3.7,3.8,11.4,10.0
2l7v,4.2,0.0,10.3,8.5
3btv,8.6,6.6,17.6,15.8
3sks,2.0,2.1,13.1,12.5
1slv,8.1,6.1,6.7,5.5
1w50,6.5,5.9,7.6,7.8
2oyh,12.8,9.0,21.8,27.7
2we2,7.9,4.5,7.3,6.1
4fcc,2.6,4.1,88.4,121.2
2q45,23.6,5.9,27.7,32.1
3o8g,7.7,7.9,4.7,4.1
3crw,39.6,31.8,8.8,9.6
2p1z,8.9,8.0,6.2,6.0
3is8,9.1,8.1,120.8,87.7
3qiw,13.7,9.7,12.3,13.4
1nkn,10.9,9.7,6.3,6.0
1j1l,6.5,5.2,5.9,5.9
3dby,6.3,5.0,115.8,122.0
3iwz,10.9,8.8,13.1,15.7
3bt8,7.9,6.4,3.9,2.9
2g6d,6.3,5.0,4.5,4.4
3f3d,1.9,1.5,11.2,10.6
4kvv,4.3,3.3,6.6,6.5
2pup,4.2,3.3,12.1,15.3
2ljc,52.3,23.6,27.0,33.2
2vl5,5.7,5.0,13.4,15.7
3nkh,9.2,6.0,11.6,9.9
2pk9,9.6,4.9,16.3,17.4
1pt9,8.3,6.8,6.9,7.5
2oa8,8.8,8.3,8.9,9.7
1bxi,10.8,7.8,5.1,4.6
4ew4,14.0,12.4,5.4,3.8
3m58,3.5,1.9,7.3,6.3
2ecf,9.0,7.5,11.4,12.1
