2rpk,0.00,0.00,0.00,0.0
4gwg,7.70,6.20,1.50,0.0
2bhf,12.90,12.10,0.70,0.0
3fvb,6.60,5.60,1.10,0.0
1ym9,5.10,4.40,0.70,0.0
3kev,8.80,8.30,0.60,0.0
1pdf,0.00,0.00,0.00,0.0
1vpv,9.10,8.90,0.20,0.0
1sfs,12.70,11.60,1.10,0.0
4mhv,8.20,7.90,0.00,0.3
1f0n,28.00,25.50,2.50,0.0
2rr9,2.20,2.20,0.00,0.0
2eb1,11.10,10.80,0.20,0.1
1as8,20.80,14.40,6.20,0.2
3vcl,9.50,9.20,0.30,0.0
2lps,0.00,0.00,0.00,0.0
2b9v,15.00,12.80,2.20,0.0
2ew2,8.10,7.90,0.20,0.0
2mnr,6.00,5.80,0.20,0.0
4dyz,4.50,2.40,1.70,0.3
3twq,10.60,9.70,1.00,0.0
4hu2,9.70,7.60,1.50,0.6
1pdi,0.00,0.00,0.00,0.0
3d9l,8.30,6.10,2.20,0.0
4kea,12.00,11.40,0.70,0.0
3fwx,8.10,7.40,0.70,0.0
1t2x,5.30,4.80,0.50,0.0
4gsd,11.00,9.80,0.60,0.6
3q6s,9.40,8.80,0.60,0.0
4djn,8.80,8.00,0.70,0.0
3zyi,5.20,4.80,0.40,0.0
3s5v,9.30,6.80,2.40,0.0
1xic,7.30,5.90,1.40,0.0
4fm6,11.30,10.10,0.90,0.3
4i8c,12.00,11.60,0.40,0.0
3l8k,11.50,11.00,0.50,0.0
4ln6,12.60,12.20,0.40,0.0
1tli,13.70,12.60,1.00,0.0
1ojx,4.30,4.20,0.00,0.0
2o9z,10.40,10.30,0.10,0.0
3ucm,17.10,15.30,1.30,0.6
2d4p,3.20,2.70,0.50,0.0
4h7e,4.60,4.60,0.00,0.0
2w5a,14.90,11.50,3.40,0.0
2aep,15.30,14.90,0.50,0.0
3ze5,9.40,9.00,0.40,0.0
1pdj,0.00,0.00,0.00,0.0
1l0e,11.20,10.30,0.90,0.0
4kp3,8.30,7.90,0.30,0.0
3ze1,9.00,9.00,0.00,0.0
1erv,11.80,8.90,3.00,0.0
3vvu,12.30,10.90,1.30,0.0
3riw,14.20,11.90,2.30,0.0
2qvm,13.20,9.60,3.50,0.0
1i9s,13.10,8.00,5.00,0.0
1atx,4.30,4.30,0.00,0.0
3qfo,7.10,7.00,0.10,0.0
1gb8,10.40,6.90,3.50,0.0
3m52,14.20,11.70,2.50,0.0
1pdm,0.00,0.00,0.00,0.0
2li7,0.40,0.40,0.00,0.0
3cnf,3.20,0.00,0.00,3.2
2ks1,5.80,5.80,0.00,0.0
1vud,3.20,3.20,0.00,0.0
