3t9g,25.7,18.0,13.2,10.8
3t9v,11.9,6.5,8.9,11.4
3tkq,12.0,4.8,19.7,17.6
3tqx,21.0,11.6,12.8,17.1
3tu3,7.6,3.8,15.0,14.1
3u09,8.4,6.1,11.1,10.4
3ubk,14.6,12.7,10.3,9.4
3uec,6.0,4.8,3.8,2.8
3ui0,7.9,1.9,6.7,6.3
3uu7,10.1,5.6,11.3,10.4
3uys,20.9,11.9,17.9,22.8
3uyv,14.3,4.1,4.5,3.8
3v6n,8.6,3.8,9.2,8.1
3v8p,9.7,4.0,6.9,5.2
3v9q,4.0,2.7,8.3,8.1
3vh5,12.2,5.1,6.6,7.3
3w06,14.2,12.4,8.6,7.4
3zey,26.9,9.6,69.8,109.7
3zjs,13.6,5.9,9.5,8.9
3zjy,5.3,2.2,37.0,43.0
3zrz,2.4,0.9,4.7,4.6
3zz3,12.4,6.9,6.8,7.0
4a3x,5.0,1.2,6.3,4.7
4ac4,10.3,8.1,4.8,4.4
4ape,22.9,18.0,5.9,5.9
4b4v,1.0,0.6,15.8,13.3
4blp,2.8,1.1,33.7,36.3
4byc,34.4,28.5,137.3,206.7
4bz7,4.4,1.5,48.5,39.8
4c92,8.8,4.0,9.8,11.2
4dgj,6.7,3.4,19.4,21.3
4dhl,12.7,3.6,37.6,42.3
4dox,9.1,0.6,6.0,5.9
4dqh,5.4,2.5,5.7,4.2
4dy5,5.5,2.3,8.2,6.9
4e4d,3.7,3.2,5.6,4.9
4e5k,8.6,3.7,20.4,26.1
4ebf,11.9,6.8,29.1,39.9
4edj,11.4,5.3,12.9,7.9
4etc,5.4,1.5,3.9,2.5
4ey4,4.8,1.5,22.7,21.3
4ey5,5.8,1.9,22.4,23.1
4fa3,5.8,1.4,7.8,6.4
4fl9,13.1,5.1,15.3,11.6
4fo8,6.8,3.2,22.3,24.2
4fqg,8.6,5.0,7.5,8.9
4g01,7.7,3.1,7.6,8.4
4g1y,20.3,10.7,5.4,5.3
4gkm,3.3,1.9,14.2,14.2
4gph,5.4,4.7,14.6,16.0
4gyo,2.9,1.6,16.9,16.2
4hlw,6.8,1.3,6.5,4.9
4hs6,5.0,2.8,19.0,19.7
4jhr,13.5,6.3,8.7,10.1
4jrf,1.3,0.3,11.3,10.1
4juf,7.1,2.0,44.9,46.0
4jz7,21.6,11.4,17.6,24.0
4k6a,4.4,2.2,13.8,12.2
4l28,6.2,3.1,29.5,35.2
4ldc,15.1,9.7,4.9,3.4
